X,Y
1201,148
1173,156
1133,158
1099,163
1033,174
990,187
1207,204
1170,220
1107,221
1116,199
1085,202
1058,221
1042,246
1025,226
968,213
950,215
962,194
938,229
940,258
923,261
919,234
904,261
890,271
869,276
852,283
997,241
976,247
997,259
975,263
860,320
961,287
958,314
915,357
895,331
852,367
1220,287
1173,292
1228,340
1209,351
1178,334
1158,351
1124,306
1101,309
1046,333
1100,368
1037,378
1017,342
1239,425
1221,447
1213,422
1177,434
1113,442
1092,460
1047,449
1007,442
976,447
916,424
933,447
904,444
878,463
899,486
1249,498
1197,510
1135,522
1058,536
997,541
929,557
860,564
1257,554
1209,555
1131,573
1075,578
997,586
955,597
927,603
866,608
836,608
730,553
765,504
805,422
779,458
741,457
733,506
759,643
699,655
708,691
765,686
654,700
852,718
956,679
848,697
953,701
956,737
957,764
1023,749
1018,724
1013,693
1012,671
1136,651
1140,680
1143,705
1146,736
1201,639
1206,670
1211,697
1212,726
1253,749
1258,782
1258,811
1257,839
1224,875
1177,883
1128,860
1127,828
1121,801
1119,772
1101,744
1048,804
1054,836
1054,858
948,797
952,820
952,849
960,883
858,742
881,822
885,871
874,918
797,928
795,900
761,919
720,918
732,937
651,939
679,896
640,902
618,906
580,914
598,850
679,845
728,829
782,824
788,777
721,785
664,795
615,804
821,305
1067,167
