No,X,Y
0,709,84
1,765,85
2,817,87
3,845,88
4,903,89
5,931,90
6,968,89
7,1014,98
8,1049,69
9,1075,90
10,1109,88
11,1142,88
12,1189,87
13,1230,92
14,737,151
15,733,190
16,733,236
17,736,270
18,738,305
19,737,332
20,736,361
21,736,398
22,739,442
23,738,471
24,735,504
25,739,527
26,735,566
27,769,566
28,788,579
29,784,540
30,778,504
31,782,468
32,782,447
33,784,396
34,786,358
35,782,331
36,781,304
37,782,268
38,783,242
39,783,212
40,781,184
41,780,145
42,841,153
43,843,186
44,842,212
45,847,241
46,852,278
47,842,301
48,848,328
49,839,362
50,840,389
51,836,424
52,843,442
53,842,479
54,841,500
55,840,522
56,841,560
57,837,579
58,892,562
59,890,536
60,890,505
61,890,475
62,890,446
63,890,423
64,892,384
65,895,359
66,891,331
67,889,303
68,890,264
69,890,211
70,889,182
71,886,153
72,957,146
73,948,200
74,947,244
75,946,273
76,938,310
77,938,327
78,951,393
79,949,424
80,949,448
81,958,484
82,993,529
83,997,495
84,994,463
85,992,435
86,994,386
87,998,330
88,999,303
89,998,256
90,998,213
91,989,182
92,992,153
93,1057,151
94,1056,183
95,1053,213
96,1054,243
97,1056,301
98,1058,337
99,1108,335
100,1097,296
101,1099,270
102,1106,241
103,1106,215
104,1105,186
105,1101,158
106,1095,135
107,1239,162
108,1222,194
109,1230,223
110,1227,257
111,1223,278
112,1223,330
113,1060,394
114,1055,434
115,1053,463
116,1054,494
117,1069,530
118,1106,527
119,1099,489
120,1105,450
121,1101,394
122,1135,558
123,1102,623
124,1130,645
125,1107,659
126,1049,600
127,1102,679
128,1087,699
129,1070,748
130,1056,781
131,1048,806
132,1036,828
133,1034,862
134,1003,884
135,997,917
136,998,956
137,998,598
138,993,678
139,995,708
140,1000,735
141,986,758
142,964,800
143,951,772
144,949,742
145,950,710
146,950,670
147,929,970
148,875,973
149,802,975
150,753,966
151,728,967
152,697,964
153,888,900
154,888,869
155,888,841
156,888,809
157,891,765
158,889,697
159,893,634
160,841,629
161,840,667
162,842,697
163,842,726
164,841,768
165,842,824
166,841,863
167,845,902
168,784,909
169,780,863
170,784,818
171,784,771
172,786,732
173,785,703
174,783,658
175,775,620
176,734,624
177,728,690
178,732,725
179,731,756
180,729,800
181,742,867
182,739,902
