No,X,Y
0,1201,148
1,1173,156
2,1133,158
3,1067,167
4,1099,163
5,1033,174
6,990,187
7,1207,204
8,1170,220
9,1107,221
10,1116,199
11,1085,202
12,1058,221
13,1042,246
14,1025,226
15,968,213
16,950,215
17,962,194
18,938,229
19,940,258
20,923,261
21,919,234
22,904,261
23,890,271
24,869,276
25,852,283
26,997,241
27,976,247
28,997,259
29,975,263
30,860,320
31,961,287
32,958,314
33,915,357
34,895,331
35,852,367
36,1220,287
37,1173,292
38,1228,340
39,1209,351
40,1178,334
41,1158,351
42,1124,306
43,1101,309
44,1046,333
45,1100,368
46,1037,378
47,1017,342
48,1239,425
49,1221,447
50,1213,422
51,1177,434
52,1113,442
53,1092,460
54,1047,449
55,1007,442
56,976,447
57,916,424
58,933,447
59,904,444
60,878,463
61,899,486
62,1249,498
63,1197,510
64,1135,522
65,1058,536
66,997,541
67,929,557
68,860,564
69,1257,554
70,1209,555
71,1131,573
72,1075,578
73,997,586
74,955,597
75,927,603
76,866,608
77,836,608
78,730,553
79,765,504
80,805,422
81,779,458
82,741,457
83,733,506
84,759,643
85,699,655
86,708,691
87,765,686
88,654,700
89,852,718
90,956,679
91,848,697
92,953,701
93,956,737
94,957,764
95,1023,749
96,1018,724
97,1013,693
98,1012,671
99,1136,651
100,1140,680
101,1143,705
102,1146,736
103,1201,639
104,1206,670
105,1211,697
106,1212,726
107,1253,749
108,1258,782
109,1258,811
110,1257,839
111,1224,875
112,1177,883
113,1128,860
114,1127,828
115,1121,801
116,1119,772
117,1101,744
118,1048,804
119,1054,836
120,1054,858
121,948,797
122,952,820
123,952,849
124,960,883
125,858,742
126,881,822
127,885,871
128,874,918
129,797,928
130,795,900
131,761,919
132,720,918
133,732,937
134,651,939
135,679,896
136,640,902
137,618,906
138,580,914
139,598,850
140,679,845
141,728,829
142,782,824
143,788,777
144,721,785
145,664,795
146,615,804
147,821,305
